crop_id,crop_name,source_category_id,source_category_name,taxonomy_type_code,taxonomy_type_name,taxonomy_category_code,taxonomy_category_name,match_method,match_status,category_status,review_note
45,Yam,5,"Tubers, Roots & Vegetable Crops",yam,Yam,roots-and-tubers,Roots and Tubers,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
46,Tomato,5,"Tubers, Roots & Vegetable Crops",tomato,Tomato,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
47,Garlic,5,"Tubers, Roots & Vegetable Crops",garlic,Garlic,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
48,Onion,5,"Tubers, Roots & Vegetable Crops",onion,Onion,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
49,Shallot,5,"Tubers, Roots & Vegetable Crops",shallot,Shallot,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
50,Sweet/Hot Pepper,5,"Tubers, Roots & Vegetable Crops",pepper,Pepper,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
51,Cabbage,5,"Tubers, Roots & Vegetable Crops",cabbage,Cabbage,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
52,Carrot,5,"Tubers, Roots & Vegetable Crops",carrot,Carrot,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
53,Okra,5,"Tubers, Roots & Vegetable Crops",okra,Okra,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
54,Anchote,5,"Tubers, Roots & Vegetable Crops",anchote,Anchote,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
55,Summer squash,5,"Tubers, Roots & Vegetable Crops",summer-squash,Summer squash,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
56,Summarsquash,,,,,,,UNRESOLVED,UNRESOLVED,CATEGORY_MISSING,No reviewed workbook crop-type match
57,Coriander,10,Other Crops,coriander,Coriander,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
58,Black pepper,10,Other Crops,black-pepper,Black pepper,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
59,Ginger,10,Other Crops,ginger,Ginger,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
60,Turmeric,10,Other Crops,turmeric,Turmeric,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
61,Cardamom,10,Other Crops,cardamom,Cardamom,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
62,Sweet annie,10,Other Crops,sweet-annie,Sweet annie,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
63,Citronella grass,10,Other Crops,citronella-grass,Citronella grass,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
64,Pyrethrum,10,Other Crops,pyrethrum,Pyrethrum,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
65,Cumin,,,,,,,UNRESOLVED,UNRESOLVED,CATEGORY_MISSING,No reviewed workbook crop-type match
66,Lemmon grass,10,Other Crops,lemon-grass,Lemon grass,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
67,Speare mint,10,Other Crops,spearmint,Spearmint,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
68,Spanish mint,10,Other Crops,spanish-mint,Spanish mint,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
69,African marigold,10,Other Crops,african-marigold,African marigold,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
70,Rose Scented Geranium,10,Other Crops,geranium,Geranium,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
71,Chamomile,10,Other Crops,chamomile,Chamomile,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
72,Lemon verbena,10,Other Crops,lemon-verbena,Lemon verbena,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
73,Stevia,10,Other Crops,stevia,Stevia,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
74,Hibiscus,10,Other Crops,hibiscus,Hibiscus,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
75,Lavender,10,Other Crops,lavender,Lavender,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
76,Majoram/Oregano,10,Other Crops,majoram-oregano,Majoram/ Oregano,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
77,Sage,10,Other Crops,sage,Sage,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
78,Vanilla,10,Other Crops,vanilla,Vanilla,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
79,Basil,10,Other Crops,basil,Basil,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
80,Banana,5,"Tubers, Roots & Vegetable Crops",banana,Banana,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
81,Mango,5,"Tubers, Roots & Vegetable Crops",mango,Mango,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
82,Pineapple,5,"Tubers, Roots & Vegetable Crops",pineapple,Pineapple,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
83,Wine grape,5,"Tubers, Roots & Vegetable Crops",wine-grape,Wine grape,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
84,Avocado,6,Fruit Crops,avocado,Avocado,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
85,Date palm,5,"Tubers, Roots & Vegetable Crops",date-palm,Date palm,fruit-and-vegetables,Fruit and Vegetables,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
86,Tree lucerne,,,,,,,UNRESOLVED,UNRESOLVED,CATEGORY_MISSING,No reviewed workbook crop-type match
87,Elephant grass,,,,,,,UNRESOLVED,UNRESOLVED,CATEGORY_MISSING,No reviewed workbook crop-type match
88,Rhode,,,,,,,UNRESOLVED,UNRESOLVED,CATEGORY_MISSING,No reviewed workbook crop-type match
89,Panicum,,,,,,,UNRESOLVED,UNRESOLVED,CATEGORY_MISSING,No reviewed workbook crop-type match
90,Dolicos lablab,,,,,,,UNRESOLVED,UNRESOLVED,CATEGORY_MISSING,No reviewed workbook crop-type match
